Max_Depth,Acc_Self_Train,Acc_SckLn_Train,Acc_Self_Test,Acc_SckLn_Test
1,76.81%,76.81%,73.83%,73.83%
2,82.09%,82.09%,81.47%,81.47%
3,83.69%,83.69%,81.61%,81.61%
4,85.67%,85.67%,83.59%,83.59%
5,87.84%,87.84%,81.75%,81.05%
6,90.86%,90.86%,82.46%,82.74%
7,92.18%,91.71%,82.32%,83.03%
8,93.5%,93.5%,80.91%,81.05%
9,94.82%,94.82%,82.89%,83.17%
10,95.85%,95.95%,81.61%,81.19%
11,96.61%,96.8%,82.18%,82.32%
12,97.55%,97.74%,81.75%,81.61%
13,98.11%,98.3%,81.75%,81.9%
14,98.49%,98.59%,81.19%,81.61%
15,98.96%,98.96%,81.75%,81.61%
16,99.34%,99.34%,81.61%,83.03%
17,99.43%,99.81%,81.61%,82.32%
18,99.62%,99.72%,81.47%,82.46%
19,99.72%,100.0%,80.76%,82.18%
20,100.0%,99.81%,80.62%,81.75%
21,100.0%,100.0%,80.62%,82.32%
